iter	Passed	Remaining
659	20930	10782
660	20940	10739
661	20949	10696
662	20959	10653
663	20969	10611
664	20983	10570
665	20998	10530
666	21011	10490
667	21024	10449
668	21092	10435
669	21149	10416
670	21204	10396
671	21244	10369
672	21295	10347
673	21361	10332
674	21379	10293
675	21448	10280
676	21538	10275
677	21559	10239
678	21608	10215
679	21648	10187
680	21665	10148
681	21690	10113
682	21728	10084
683	21748	10047
684	21790	10020
685	21843	9998
686	21874	9966
687	21917	9939
688	21955	9910
689	21986	9877
690	22030	9851
691	22073	9824
692	22104	9792
693	22151	9766
694	22185	9736
695	22212	9702
696	22243	9669
697	22275	9637
698	22322	9612
699	22355	9580
700	22383	9547
701	22424	9519
702	22489	9501
703	22540	9477
704	22578	9447
705	22589	9407
706	22646	9385
707	22677	9352
708	22705	9319
709	22729	9283
710	22757	9250
711	22789	9218
712	22833	9190
713	22855	9154
714	22887	9122
715	22904	9085
716	22931	9051
717	22957	9016
718	23001	8989
719	23038	8959
720	23077	8930
721	23145	8911
722	23175	8879
723	23200	8844
724	23213	8805
725	23246	8773
726	23270	8738
727	23345	8722
728	23361	8684
729	23391	8651
730	23491	8644
731	23509	8607
732	23568	8584
733	23663	8575
734	23707	8547
735	23742	8516
736	23757	8478
737	23772	8439
738	23782	8399
739	23793	8359
740	23803	8320
741	23816	8281
742	23828	8242
743	23838	8202
744	23849	8163
745	23861	8124
746	238744	25541	8742
745	25559	8702
746	25613	8675
747	25626	8633
748	25683	8606
749	25747	8582
750	25782	8548
751	25807	8510
752	25830	8472
753	25867	8439
754	25925	8412
755	26017	8397
756	26094	8376
757	26240	8377
758	26256	8337
759	26377	8329
760	26465	8311
761	26482	8271
762	26543	8244
763	26633	8226
764	26697	8201
765	26715	8161
766	26755	8127
767	26824	8103
768	26886	8076
769	26960	8053
770	27011	8022
771	27041	7986
772	27094	7956
773	27111	7916
774	27240	7908
775	27426	7916
776	27684	7945
777	27764	7922
778	27835	7896
779	28059	7914
780	28220	7913
781	28378	7911
782	28445	7883
783	28503	7852
784	28544	7817
785	28597	7786
786	28614	7744
787	28629	7702
788	28645	7660
789	28660	7618
790	28676	7576
791	28693	7535
792	28711	7494
793	28729	7453
794	28744	7412
795	28765	7372
796	28781	7330
797	28797	7289
798	28812	7248
799	28828	7207
800	28843	7165
801	28858	7124
802	28876	7084
803	28894	7043
804	28908	7002
805	28925	6962
806	28940	6921
807	28952	6879
808	28965	6838
809	28981	6798
810	28997	6757
811	29012	6717
812	29030	6677
813	29045	6636
814	29062	6597
815	29079	6557
816	29095	6517
817	29110	6476
818	29125	6436
819	29140	6396
820	29156	6356
821	29173	6317
822	29188	6277
823	29204	6237
824	29221	6198
825	29235	6158
826	29248	6118
827	29263	6078
828	29277	6039
829	29292	5999
830	29310	5960
831	29325	5921
832	29340	5882
833	29355	5842
834	29371	5803
835	29389	5765
836	29405	5726
837	29421	5687
838	29435	5648
839	29449	5609
840	29462	5570
841	29475	5531
842	29493	5492
843	29507	5454
844	29523	5415
845	29541	5377
846	29556	5338
847	29569	5300
848	29583	5261
849	29600	5223
850	29614	5185
851	29627	5146
852	29644	5108
853	29658	5070
854	29670	5031
855	29685	4993
856	29701	4956
857	29717	4918
858	29731	4880
859	29745	4842
860	29760	4804
861	29774	4766
862	29789	4729
863	29803	4691
864	29818	4653
865	29833	4616
866	29848	4578
867	29863	4541
868	29881	4504
869	29895	4467
870	29911	4429
871	29927	4392
872	29942	4355
873	29964	4319
874	30028	4289
875	30081	4258
876	30113	4223
877	30170	4192
878	30213	4159
879	30239	4123
880	30262	4087
881	30296	4053
882	30323	4017
883	30344	3981
884	30362	3945
885	30381	3909
886	30401	3873
887	30423	3837
888	30442	3801
889	30461	3764
890	30481	3728
891	30497	3692
892	30513	3656
893	30532	3620
894	30663	3597
895	30696	3562
896	30730	3528
897	30762	3494
898	30794	3459
899	30840	3426
900	30884	3393
901	30902	3357
902	30927	3322
903	30965	3288
904	30984	3252
905	31001	3216
906	31069	3185
907	31147	3155
908	31198	3123
909	31256	3091
910	31294	3057
911	31357	3025
912	31377	2989
913	31400	2954
914	31463	2922
915	31503	2888
916	31588	2859
917	31617	2824
918	31649	2789
919	31675	2754
920	31691	2718
921	31729	2684
922	31749	2648
923	31778	2613
924	31803	2578
925	31850	2545
926	31867	2509
927	31894	2474
928	31911	2438
929	31927	2403
930	32006	2372
931	32024	2336
932	32042	2301
933	32100	2268
934	32118	2232
935	32165	2199
936	32205	2165
937	32224	2129
938	32273	2096
939	32292	2061
940	32320	2026
941	32374	1993
942	32403	1958
943	32425	1923
944	32455	1888
945	32475	1853
946	32500	1818
947	32519	1783
948	32540	1748
949	32564	1713
950	32583	1678
951	32611	1644
952	32628	1609
953	32684	1575
954	32704	1541
955	32721	1506
956	32778	1472
957	32808	1438
958	32829	1403
959	32868	1369
960	32897	1335
961	32933	1300
962	32951	1266
963	32990	1232
964	33010	1197
965	33030	1162
966	33051	1127
967	33070	1093
968	33117	1059
969	33136	1024
970	33186	991
971	33217	956
972	33297	923
973	33322	889
974	33392	856
975	33430	822
976	33455	787
977	33481	753
978	33502	718
979	33556	684
980	33574	650
981	33622	616
982	33641	581
983	33675	547
984	33692	513
985	33735	479
986	33753	444
987	33784	410
988	33801	375
989	33825	341
990	33842	307
991	33868	273
992	33886	238
993	33914	204
994	33932	170
995	33968	136
996	33985	102
997	34017	68
998	34034	34
999	34064	0

998	33496	33
999	33553	0
